delay_id_pk,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,other_type_delay
86440,0.0,0.0,0.0,0.0,28.0,-20.0
86442,72.0,0.0,18.0,0.0,27.0,18.0
86450,43.0,0.0,11.0,0.0,0.0,11.0
86458,0.0,0.0,0.0,363.0,16.0,0.0
86463,0.0,1.0,0.0,0.0,18.0,-5.0
86481,69.0,0.0,0.0,0.0,0.0,-7.0
86483,156.0,0.0,0.0,0.0,0.0,-2.0
86495,60.0,0.0,0.0,0.0,50.0,-12.0
86496,0.0,0.0,0.0,0.0,90.0,-9.0
86503,21.0,0.0,16.0,0.0,19.0,16.0
86523,7.0,0.0,0.0,0.0,67.0,-14.0
86529,0.0,0.0,0.0,0.0,78.0,-17.0
86530,2.0,0.0,0.0,0.0,111.0,-10.0
86567,65.0,0.0,9.0,0.0,65.0,9.0
86568,0.0,0.0,0.0,0.0,129.0,-4.0
86577,30.0,0.0,28.0,0.0,0.0,28.0
86580,152.0,0.0,0.0,0.0,0.0,0.0
86584,6.0,0.0,1.0,0.0,24.0,1.0
86604,154.0,0.0,0.0,0.0,0.0,-13.0
86605,11.0,0.0,0.0,0.0,136.0,-8.0
86643,170.0,0.0,0.0,0.0,0.0,-6.0
86650,11.0,0.0,0.0,0.0,86.0,-9.0
86654,108.0,0.0,0.0,0.0,0.0,-13.0
86655,15.0,0.0,40.0,0.0,90.0,40.0
86659,38.0,0.0,0.0,0.0,1.0,-5.0
86670,30.0,0.0,0.0,0.0,0.0,18.0
86682,0.0,0.0,0.0,0.0,211.0,-8.0
86687,0.0,0.0,0.0,0.0,236.0,-8.0
86695,0.0,0.0,0.0,0.0,148.0,-21.0
86702,101.0,0.0,0.0,0.0,0.0,14.0
86704,145.0,0.0,0.0,0.0,0.0,1.0
86711,16.0,0.0,0.0,0.0,0.0,14.0
86712,0.0,0.0,0.0,0.0,22.0,-14.0
86725,21.0,0.0,0.0,0.0,0.0,6.0
86736,19.0,0.0,0.0,0.0,0.0,4.0
86744,68.0,0.0,0.0,0.0,0.0,11.0
86754,76.0,0.0,0.0,0.0,0.0,-3.0
86764,42.0,0.0,0.0,0.0,0.0,1.0
86767,0.0,150.0,0.0,0.0,0.0,-4.0
86780,19.0,0.0,0.0,0.0,0.0,9.0
86788,0.0,0.0,0.0,0.0,236.0,5.0
86796,0.0,53.0,0.0,0.0,0.0,-2.0
86834,745.0,0.0,0.0,0.0,0.0,-11.0
86835,24.0,0.0,0.0,0.0,0.0,20.0
86866,0.0,0.0,35.0,0.0,0.0,1.0
86879,0.0,47.0,0.0,0.0,0.0,36.0
86893,20.0,0.0,0.0,0.0,0.0,16.0
86916,28.0,0.0,0.0,0.0,0.0,15.0
86931,0.0,0.0,0.0,0.0,98.0,-16.0
86947,16.0,0.0,0.0,0.0,0.0,9.0
86954,0.0,0.0,0.0,0.0,19.0,15.0
86956,0.0,35.0,0.0,0.0,0.0,-11.0
86971,16.0,0.0,0.0,0.0,72.0,-13.0
86981,0.0,0.0,0.0,0.0,152.0,-26.0
86985,6.0,0.0,0.0,0.0,48.0,-31.0
87004,0.0,0.0,0.0,0.0,38.0,-3.0
87053,80.0,0.0,0.0,0.0,11.0,-22.0
87054,10.0,0.0,3.0,0.0,79.0,3.0
87059,0.0,71.0,0.0,0.0,35.0,-2.0
87067,6.0,0.0,46.0,0.0,0.0,46.0
87071,14.0,0.0,0.0,0.0,72.0,-33.0
87091,20.0,0.0,0.0,0.0,0.0,-20.0
87103,5.0,0.0,0.0,0.0,44.0,-1.0
87104,14.0,0.0,0.0,0.0,5.0,-24.0
87110,20.0,0.0,0.0,0.0,7.0,-5.0
87117,127.0,0.0,0.0,0.0,0.0,-15.0
87118,0.0,7.0,0.0,0.0,54.0,-16.0
87123,12.0,0.0,90.0,0.0,0.0,3.0
87147,19.0,0.0,0.0,0.0,168.0,-17.0
87180,9.0,0.0,0.0,0.0,20.0,-12.0
87185,4.0,0.0,0.0,0.0,106.0,-27.0
